"Ticker","Nazwa emitenta","Data autoryzacji","Data pierwszego notowania","Data wykupu","Rodzaj oprocentowania obligacji","Oprocentowanie w bieżącym okresie odsetkowym (%)","Strona www emitenta","Wartosc nominalna","Wartosc emisji","Odsetki skumulowane","Waluta"
"KRU0625","KRUK","2019-09-17","2019-09-17","2025-06-28","zmienne","10.9","www.kruksa.pl","1 000,00","50 000 000,00","8,36","PLN"
"KRU0626","KRUK","2021-07-02","2021-07-02","2026-06-10","stałe","4","www.kruksa.pl","100,00","70 000 000,00","0,52","PLN"
"KRU0627","KRUK","2021-08-26","2021-08-26","2027-06-28","zmienne","10.6","www.kruksa.pl","1 000,00","330 000 000,00","8,13","PLN"
"KRU0726","KRUK","2021-07-27","2021-07-27","2026-07-09","stałe","4","www.kruksa.pl","100,00","65 000 000,00","0,19","PLN"
"KRU0827","KRUK","2022-08-26","2022-08-26","2027-08-12","zmienne","10.22","www.kruksa.pl","100,00","60 000 000,00","2,04","PLN"
"KRU0924","KRUK","2019-09-20","2019-09-20","2024-09-02","zmienne","10.44","www.kruksa.pl","100,00","25 000 000,00","1,57","PLN"
"KRU0925","KRUK","2020-10-09","2020-10-09","2025-09-25","stałe","4.8","www.kruksa.pl","100,00","25 000 000,00","0,42","PLN"
"KRU1023","KRUK","2019-03-05","2019-03-05","2023-10-12","zmienne","10.4","www.kruksa.pl","1 000,00","35 000 000,00","3,70","PLN"
"KRU1123","KRUK","2018-12-28","2018-12-28","2023-11-27","zmienne","10.44","www.kruksa.pl","100,00","30 000 000,00","1,66","PLN"
"KRU1127","KRUK","2022-12-16","2022-12-16","2027-11-28","zmienne","10.94","www.kruksa.pl","100,00","35 000 000,00","1,71","PLN"
"KRU1226","KRUK","2022-01-14","2022-01-14","2026-12-16","zmienne","10.33","www.kruksa.pl","100,00","50 000 000,00","1,16","PLN"
"LKD0425","LOKUM DEWELOPER","2021-11-17","2021-11-17","2025-04-19","zmienne","11.15","www.lokum-deweloper.pl","1 000,00","50 000 000,00","1,83","PLN"
"LKD0924","LOKUM DEWELOPER","2021-04-06","2021-04-06","2024-09-05","zmienne","11.5","www.lokum-deweloper.pl","1 000,00","100 000 000,00","16,07","PLN"
"LPP1224","LPP","2019-12-18","2019-12-18","2024-12-12","zmienne","8.46","www.lppsa.com","1 000,00","300 000 000,00","31,06","PLN"
"MBK0125","MBANK","2015-07-14","2015-07-14","2025-01-17","zmienne","9.15","www.mbank.pl","100 000,00","750 000 000,00","2 456,71","PLN"
"MBK1028","MBANK","2019-02-28","2019-02-28","2028-10-10","zmienne","8.75","www.mbank.pl","500 000,00","550 000 000,00","1 797,95","PLN"
"MBK1030","MBANK","2019-02-28","2019-02-28","2030-10-10","zmienne","8.9","www.mbank.pl","500 000,00","200 000 000,00","1 828,77","PLN"
"MCI0227","MCI CAPITAL ASI","2022-03-08","2022-03-08","2027-02-18","zmienne","10.43","www.mci.pl","100,00","80 636 700,00","1,91","PLN"
"MCI0823","MCI CAPITAL ASI","2021-02-15","2021-02-15","2023-08-20","zmienne","11.01","www.mci.pl","1 000,00","20 000 000,00","28,66","PLN"
"MCI1126","MCI CAPITAL ASI","2021-12-13","2021-12-13","2026-11-15","zmienne","10.44","www.mci.pl","100,00","15 059 100,00","1,97","PLN"
"MCM0724","MCI MANAGEMENT SP. Z O.O","2021-12-30","2021-12-30","2024-07-28","zmienne","11.19","www.mcimanagement.pl","1 000,00","20 000 000,00","26,67","PLN"
"MCM1223","MCI MANAGEMENT SP. Z O.O","2021-03-18","2021-03-18","2023-12-14","stałe","4.5","www.mcimanagement.pl","1 000,00","21 734 000,00","16,27","PLN"
