"Ticker","Nazwa emitenta","Waluta","Rynek","Wartosc nominalna","Data poprzedniej wypłaty","Dni od poprzedniej wypłaty","Data nastepnej wypłaty","Dni do następnej wypłaty","Rodzaj oprocentowania obligacji","WIBOR","Oprocentowanie","Oprocentowanie w bieżącym okresie odsetkowym (%)","Odsetki skumulowane","Liczba transakcji wrzesień 2023","Liczba dni z transakcjami wrzesień 2023","Obroty [tys.] wrzesień 2023","Data autoryzacji","Data pierwszego notowania","Data wykupu","Wartosc emisji","Zabezpieczenie","Strona www emitenta"
"DST0324","DOMESTA","PLN","GPW ASO","1 000,00",2023-09-09,71,2023-12-09,20,"stałe","","5.75%","5.75","1,58",0,0,0,"2023-08-29","2023-08-29","2024-03-09","18 500 000,00","TAK","www.domesta.com.pl"
"DVL0326","DEVELIA","PLN","GPW ASO","1 000,00",2023-09-27,53,2023-12-27,38,"zmienne","WIBOR 3M","4.1%","11","25,32",0,0,0,"2023-06-20","2023-06-20","2026-03-27","180 000 000,00","NIE","www.develia.pl"
"DVL0524","DEVELIA","PLN","GPW ASO","1 000,00",2023-11-11,8,2024-02-11,84,"zmienne","WIBOR 3M","2.95%","9.65","10,31",3,2,46.68,"2021-07-02","2021-07-02","2024-05-10","120 310 000,00","NIE","www.develia.pl"
"DVL0726","DEVELIA","PLN","GPW ASO","1 000,00",2023-10-06,44,2024-01-05,47,"zmienne","WIBOR 3M","3.58%","10.48","21,53",0,0,0,"2023-08-10","2023-08-10","2026-07-06","100 000 000,00","NIE","www.develia.pl"
"DVL1023","DEVELIA","PLN","GPW ASO","1 000,00",2023-10-06,44,NA,NA,"zmienne","WIBOR 3M","3.3%","10.2","20,68",0,0,0,"2020-12-15","2020-12-15","2023-10-06","61 800 000,00","NIE","www.develia.pl"
"DVL1024","DEVELIA","PLN","GPW ASO","1 000,00",2023-10-08,42,2024-01-08,50,"zmienne","WIBOR 3M","2.7%","9.6","19,20",0,0,0,"2021-12-17","2021-12-17","2024-10-08","100 000 000,00","NIE","www.develia.pl"
"DVL1225","DEVELIA","PLN","GPW RR","1 000,00",2023-09-20,60,2023-12-20,31,"zmienne","WIBOR 3M","4.1%","11",NA,52,16,745.67,"2022-12-28","2022-12-28","2025-12-20","15 442 000,00","NIE","www.develia.pl"
"EC11024","ECHO INVESTMENT","PLN","GPW ASO","1 000,00",2023-10-22,28,2024-04-22,155,"stałe","","5%","5","20,55",58,15,752.18,"2021-06-07","2021-06-07","2024-10-22","188 000 000,00","NIE","www.echo.com.pl"
"ECH0125","ECHO INVESTMENT","PLN","GPW RR","100,00",2023-07-10,132,2024-01-10,52,"zmienne","WIBOR 6M","4%","10.92","2,12",26,11,1289.72,"2022-02-04","2022-02-04","2025-01-10","50 000 000,00","NIE","www.echo.com.pl"
"ECH0226","ECHO INVESTMENT","PLN","GPW RR","100,00",2023-08-22,89,2024-02-22,95,"zmienne","WIBOR 6M","4%","10.54","0,81",16,12,364.47,"2022-03-22","2022-03-22","2026-02-22","50 000 000,00","NIE","www.echo.com.pl"
"ECH0325","ECHO INVESTMENT","PLN","GPW ASO","10 000,00",2023-09-17,63,2024-03-17,119,"zmienne","WIBOR 6M","4.45%","11.44","5,56",30,11,851.31,"2021-05-26","2021-05-26","2025-03-17","195 000 000,00","NIE","www.echo.com.pl"
"ECH0426","ECHO INVESTMENT","PLN","GPW RR","100,00",2023-10-27,23,2024-04-27,160,"zmienne","WIBOR 6M","4%","10.95","4,35",17,8,240.16,"2022-06-07","2022-06-07","2026-04-27","40 000 000,00","NIE","www.echo.com.pl"
"ECH0524","ECHO INVESTMENT","PLN","GPW ASO","10 000,00",2023-06-02,170,2023-12-02,13,"zmienne","WIBOR 6M","4.5%","11.45","341,93",9,6,167.9,"2020-07-13","2020-07-13","2024-05-31","70 000 000,00","NIE","www.echo.com.pl"
"ECH0528","ECHO INVESTMENT","PLN","GPW ASO","10 000,00",NA,NA,2023-11-24,5,"zmienne","WIBOR 6M","4.5%","11.45","370,16",0,0,0,"2023-08-31","2023-08-31","2028-05-24","140 000 000,00","NIE","www.echo.com.pl"
"ECH0626","ECHO INVESTMENT","PLN","GPW RR","100,00",2023-06-27,145,2023-12-27,38,"zmienne","WIBOR 6M","4%","10.95","2,52",59,14,403.45,"2022-08-03","2022-08-03","2026-06-27","40 000 000,00","NIE","www.echo.com.pl"
